"survey_year","site","island","site_status","den_MACPYRAD","den_MACSTIPES","den_PCLA","bm_PCLA","den_CPUN","bm_CPUN"
2020,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,3.5,2.38764187433211,12.25,0.462220578215425
2021,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,3.125,1.2088083259203,2.875,0.125391099492752
2015,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,5.625,2.45018766061921,39.125,0.642979498761769
2017,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,2.75,1.74450757918568,38,1.06927279734521
2018,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,10.75,4.99204859751057,33.375,0.617838572230609
2019,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,2.375,0.732705950733819,5,0.226015538995461
2020,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,2.5,1.21885168198618,8.5,0.296947531693784
2021,"SCI_PAINTED_CAVE_W","SCI","mpa",0,0,3.75,1.65504425785689,41.375,1.60076991846151
2015,"SCI_PELICAN_CEN","SCI","reference",0,0,11.375,1.93906771464068,34.75,0.264397659713723
2016,"SCI_PELICAN_CEN","SCI","reference",26,72.75,6.125,1.08888252508888,80.875,2.01268333658687
2017,"SCI_PELICAN_CEN","SCI","reference",0.75,2.75,8.125,1.58006538722031,26.75,0.762819477644095
2018,"SCI_PELICAN_CEN","SCI","reference",0,0,9.75,2.85259199842965,27.5,0.755861592663449
2019,"SCI_PELICAN_CEN","SCI","reference",0,0,4.875,0.842210441473755,19.875,0.731285207753245
2020,"SCI_PELICAN_CEN","SCI","reference",0,0,8.375,2.4183990576178,4.125,0.0347395691524505
2021,"SCI_PELICAN_CEN","SCI","reference",21.25,74.25,4.25,1.11889658153616,1.25,0.0450799787521229
2015,"SCI_PELICAN_E","SCI","reference",0,0,18.625,5.64889323548952,99.125,0.774982882851407
2016,"SCI_PELICAN_E","SCI","reference",7.25,17.5,14.75,3.47413908796904,41,0.645945913541896
2017,"SCI_PELICAN_E","SCI","reference",1.5,3,17.375,5.1562994691204,35.375,0.755596201813022
2018,"SCI_PELICAN_E","SCI","reference",0,0,9.25,3.95994245159497,13.75,0.413332578908624
2019,"SCI_PELICAN_E","SCI","reference",0,0,7.125,1.72586871836646,18.125,0.445713605157524
2020,"SCI_PELICAN_E","SCI","reference",0,0,4.75,1.53353224226026,2,0.0665115781335916
2021,"SCI_PELICAN_E","SCI","reference",1.75,9.5,5,1.41693134677786,21.5,0.63878411601122
2015,"SCI_PELICAN_W","SCI","reference",0,0,8,0.869066842292489,114,0.775648386616263
2016,"SCI_PELICAN_W","SCI","reference",2.25,5,2.875,0.228096694507385,59.5,1.37242098392521
2017,"SCI_PELICAN_W","SCI","reference",0,0,7.125,1.67533276999721,35.875,0.712293272588278
2018,"SCI_PELICAN_W","SCI","reference",0,0,6.375,1.56391176405528,5.5,0.128975990998725
2019,"SCI_PELICAN_W","SCI","reference",0,0,1.5,0.184260353996353,24.625,1.68916073172589
2020,"SCI_PELICAN_W","SCI","reference",0,0,3.875,0.744649747050952,1.875,0.0387260617383111
2021,"SCI_PELICAN_W","SCI","reference",0,0,3,0.769951119740176,12.5,0.325754567603489
2015,"SCI_SCORPION_E","SCI","reference",0,0,8.58333333333333,1.32094546561698,133.25,0.882310022843465
2016,"SCI_SCORPION_E","SCI","reference",0.166666667,0.5,8.33333333333333,1.69185896219332,243.666666666667,8.51581471933027
2017,"SCI_SCORPION_E","SCI","reference",1,2.5,4.66666666666667,1.6569154003327,148.833333333333,6.48565667943501
2018,"SCI_SCORPION_E","SCI","reference",4.666667,26,5.5,2.41601747383762,19.8333333333333,2.0346219295944
2019,"SCI_SCORPION_E","SCI","reference",12.33333,24.5,6.08333333333333,1.33846175098616,12.1666666666667,0.307829822118862
2020,"SCI_SCORPION_E","SCI","reference",5.333333,11.83333,2.83333333333333,0.495434629701081,13.3333333333333,0.224267606128954
2021,"SCI_SCORPION_E","SCI","reference",2.5,10,3.33333333333333,0.925732372122912,27.6666666666667,0.709214196627899
2015,"SCI_SCORPION_W","SCI","mpa",26.83333333,347,20.4166666666667,2.93275632895817,52.75,0.578129110580324
2016,"SCI_SCORPION_W","SCI","mpa",122.1666667,366.5,20.75,5.82880339933682,11.8333333333333,0.350207106536531
2017,"SCI_SCORPION_W","SCI","mpa",70,501.1667,6.41666666666667,1.26321526119979,15.4166666666667,0.726961669781045
2018,"SCI_SCORPION_W","SCI","mpa",52.83333,294.3333,8.33333333333333,0.890005832270433,2.66666666666667,0.178017580877882
2019,"SCI_SCORPION_W","SCI","mpa",141.6667,484,6.33333333333333,1.39808746569128,17.0833333333333,1.55512373486245
2020,"SCI_SCORPION_W","SCI","mpa",86.66667,555.5,3.58333333333333,0.410350600379245,2,0.0807340853892127
2021,"SCI_SCORPION_W","SCI","mpa",130.3333,560.8333,4,0.817733212507256,5.41666666666667,0.183703122308707
2015,"SCI_VALLEY_CEN","SCI","reference",29.5,80.5,8.625,1.25382883676455,61.75,1.01044905202613
2018,"SCI_VALLEY_CEN","SCI","reference",17.25,120.25,6.75,1.04597255445711,2.5,0.0755385846798879
2019,"SCI_VALLEY_CEN","SCI","reference",58,255,4.125,0.494382111717318,3.125,0.304092543992487
2020,"SCI_VALLEY_CEN","SCI","reference",25.5,219,4.125,0.571988043200608,8.125,0.20693363456967
2015,"SCI_VALLEY_E","SCI","reference",82.75,418.5,8.125,1.11286475855498,0.875,0.00153282871070918
2018,"SCI_VALLEY_E","SCI","reference",2.75,13,3.625,1.25056527898411,0,0
2019,"SCI_VALLEY_E","SCI","reference",9,21.5,1,0.170750951920393,0,0
2020,"SCI_VALLEY_E","SCI","reference",18.75,68,0,0,0,0
2015,"SCI_VALLEY_W","SCI","reference",1.75,2.75,8.5,0.612970716204657,4.5,0.0630318619352747
2018,"SCI_VALLEY_W","SCI","reference",8.25,86.25,5.5,0.879832878254421,2,0.0617350749979187
2019,"SCI_VALLEY_W","SCI","reference",7.25,22.25,5.125,0.728744757979935,0.375,0.0197188638520606
2020,"SCI_VALLEY_W","SCI","reference",45,261.25,4.5,1.46812411646189,11.125,0.240790373154546
2015,"SCI_YELLOWBANKS_CEN","SCI","reference",0,0,3.08333333333333,0.530458792112239,29.4166666666667,0.473971821719964
2018,"SCI_YELLOWBANKS_CEN","SCI","reference",8.833333,57.83333,4.58333333333333,0.95854685687842,3.91666666666667,0.142021201993053
